link,category_name,date
http://www.sudantribune.com/spip.php?article68213,South Sudan,9/25/2019
http://www.sudantribune.com/spip.php?article68209,South Sudan,9/28/2019
https://thesentry.org/reports/taking-south-sudan/,South Sudan,9/19/2019
http://www.sudantribune.com/spip.php?article68183,Sudan,9/25/2019
https://www.amnesty.org/en/latest/news/2019/09/south-sudan-missing-file-blocks-justice-for-terrain-hotel-rapes-murder/,South Sudan,9/26/2019
https://www.amnesty.org/en/documents/afr54/0986/2019/en/,Sudan,9/3/2019
https://www.amnesty.org/en/latest/news/2019/10/africa-states-frustrate-continental-rights-bodies-efforts-to-uphold-human-rights/,Comoros,10/29/2019
http://www.xinhuanet.com/english/2019-09/27/c_138428957.htm,Mauritania,9/27/2019
https://www.clevescene.com/scene-and-heard/archives/2019/09/04/dozen-plus-black-mauritanians-in-ohio-freed-but-many-more-still-in-ice-detention,Mauritania,9/4/2019
http://news.trust.org/item/20190906125244-g6tak/,Mauritania,9/06/2019
https://www.busiweek.com/somaliland-president-makes-trip-to-djibouti-to-cement-socio-economic-ties/,Djibouti,9/04/2019
https://www.ecofinagency.com/telecom/0209-40448-djibouti-plans-to-update-its-cybersecurity-law,Djibouti,9/02/2019
https://southerntimesafrica.com/site/news/angola-and-comoros-prepare-joint-commission,Comoros,9/16/2019
http://www.thinkgeoenergy.com/rfp-consultancy-on-renewable-energy-geothermal-policy-in-comoros/,Comoros,9/11/2019
https://news.un.org/en/story/2019/09/1047612,Mali,9/25/2019